content,content_clean
"Halo! Saya mau bertanya, kenapa jadwal di kalender edlink saya gak muncul ya? jadi kalo mau liat jadwal keseluruhan susah, mohon tanggapannya.",Halo Saya mau bertanya kenapa jadwal di kalender edlink saya gak muncul ya jadi kalo mau liat jadwal keseluruhan susah mohon tanggapannya
"Ini gimana ya? Makin jelek edlink skrng, pdhl kemarin sudah membayar di bank, tpi keterangan transaksi belum berhasil",Ini gimana ya Makin jelek edlink skrng pdhl kemarin sudah membayar di bank tpi keterangan transaksi belum berhasil
"Harusnya yaaa setelah pemeliharaan sistem ituuu, aplikasinya semakin bagus tapi ini enggak Malah ngedown dan error' yang merugikan penggunanya Udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect Ini gimana yaaa sistemnya, kalau bisa bikin aplikasi jangan merugikan penggunanya",Harusnya yaaa setelah pemeliharaan sistem ituuu aplikasinya semakin bagus tapi ini enggak Malah ngedown dan error yang merugikan penggunanya Udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect Ini gimana yaaa sistemnya kalau bisa bikin aplikasi jangan merugikan penggunanya
"Tingkatkan lagi, jangan ad masalah lagi👌👌",Tingkatkan lagi jangan ad masalah lagi
nyusahin,nyusahin
"Tidak bisa buka aplikasi. ""Masalah koneksi tidak terhubung ke internet"". Padahal kuota internet masih ada. Sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama. Apa sedang ada gangguan server/bagaimana?",Tidak bisa buka aplikasi Masalah koneksi tidak terhubung ke internet Padahal kuota internet masih ada Sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama Apa sedang ada gangguan serverbagaimana
"Kenapa saya sering dapat gangguan jaringan min, aplikasinya gk bisa dibuka",Kenapa saya sering dapat gangguan jaringan min aplikasinya gk bisa dibuka
"ini servernya yg eror atau bagaimana? pas buka aplikasi loading mulu. katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom, zoom, dll aman aman aja.",ini servernya yg eror atau bagaimana pas buka aplikasi loading mulu katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom zoom dll aman aman aja
"tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk, saya punya tugas deadline nya soreee! tolong diperbaiki secepatnyaaaa",tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk saya punya tugas deadline nya soreee tolong diperbaiki secepatnyaaaa
Maaf min knpa notif tugas nya masuk setelah 20 mnit.... Kan jdi telat masuk klas nya Mohon di perbaiki,Maaf min knpa notif tugas nya masuk setelah  mnit Kan jdi telat masuk klas nya Mohon di perbaiki
apk rusakkkk,apk rusakkkk
Edlink saya error terus gak muncul jadwal di kalender nya gk muncul pembayaran kenapa ya aneh 🤔 jadi suka lupa kalo gak muncul jadwal nya,Edlink saya error terus gak muncul jadwal di kalender nya gk muncul pembayaran kenapa ya aneh 🤔 jadi suka lupa kalo gak muncul jadwal nya
"masih ada bug, suka keluar sendiri",masih ada bug suka keluar sendiri
Bagus,Bagus
Sangat membantu.. 😍,Sangat membantu
Keren,Keren
Dipakenya jadi enggak jelas kaya dulu,Dipakenya jadi enggak jelas kaya dulu
tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya 0 semua. Sudah saya unistall dan reinstall tapi masih begitu 🥲,tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya  semua Sudah saya unistall dan reinstall tapi masih begitu 🥲
Selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari,Selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari
"Saran, Tambahkan fitur zoom in/out, saat Presensi QR!",Saran Tambahkan fitur zoom inout saat Presensi QR
Apk ini sangat membantu para maha siswa stikes panti rapih Yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi 🙏,Apk ini sangat membantu para maha siswa stikes panti rapih Yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi
Absensi edlink nya selalu bermasalah,Absensi edlink nya selalu bermasalah
"Masih kurang sinkron dengan SIADIKNONA kampus, ada beberapa kelas yang tidak muncul, nilai di KHS/KRS juga.",Masih kurang sinkron dengan SIADIKNONA kampus ada beberapa kelas yang tidak muncul nilai di KHSKRS juga
Min kenapa saat login tidak bisa. Pke akun google. Padahal dulu pernah. Tp saat instal ulang dan login ulang jdi tdk bisa masuk....,Min kenapa saat login tidak bisa Pke akun google Padahal dulu pernah Tp saat instal ulang dan login ulang jdi tdk bisa masuk
"Gabisa ubah profil aneh bgt, pdhl penting buat nandain kita dari orang lain dlm bukti pengiriman tugas",Gabisa ubah profil aneh bgt pdhl penting buat nandain kita dari orang lain dlm bukti pengiriman tugas
"Kenapa edlink suka tibatiba ke log out sendirii, dan tibatiba ngga bisa absen jugaa:))))))",Kenapa edlink suka tibatiba ke log out sendirii dan tibatiba ngga bisa absen jugaa
Tiba tiba EdLink saya error,Tiba tiba EdLink saya error
Semenjak di update gak bisa log in terus padahal email sudah benar...,Semenjak di update gak bisa log in terus padahal email sudah benar
EdLink saya tidak bisa login/ dibuka,EdLink saya tidak bisa login dibuka
Tolong dong untuk presensi buat ambil kode barcode lewat foto yang tersimpan saya kalau tidak ada fitur itu jadi kesulitan karena hp saya 1 dan keadaannya saya sedang sendirian di jalan tolong buat fitur itu,Tolong dong untuk presensi buat ambil kode barcode lewat foto yang tersimpan saya kalau tidak ada fitur itu jadi kesulitan karena hp saya  dan keadaannya saya sedang sendirian di jalan tolong buat fitur itu
shifa,shifa
"maaf saya tarik kembali bintang satunya, maaf ya, tugasku sudah kelihatan tadi tidak padahal karena loadingnya lama, mamaku bilang kalau kita harus jujur, terimakasih atas aplikasinya",maaf saya tarik kembali bintang satunya maaf ya tugasku sudah kelihatan tadi tidak padahal karena loadingnya lama mamaku bilang kalau kita harus jujur terimakasih atas aplikasinya
kata nuri bagus dan membantu pembelajaran,kata nuri bagus dan membantu pembelajaran
"aplikasi makin aneh, mau bayar lewat mandiri pun gak bisa, pass di TF muncul tulisan, maaf rekening ini tidak di temukan, trus satu lagi, kok tagihan SPP jadi doubel, padahal pas liat beberapa hari yang lalu gak gitu, kalo satunya buat semseter 4 sangat tidak logis, baru aja masuk semseter 3 masa udah ada tagihan semester 4",aplikasi makin aneh mau bayar lewat mandiri pun gak bisa pass di TF muncul tulisan maaf rekening ini tidak di temukan trus satu lagi kok tagihan SPP jadi doubel padahal pas liat beberapa hari yang lalu gak gitu kalo satunya buat semseter  sangat tidak logis baru aja masuk semseter  masa udah ada tagihan semester
"Mau login pake siakad tapi gak bisa, malah disuruh masukin email(?)",Mau login pake siakad tapi gak bisa malah disuruh masukin email
Aku udah nerima kode Verifikasi berkali² tapi ttp nggak bisa dasar error,Aku udah nerima kode Verifikasi berkali² tapi ttp nggak bisa dasar error
tolong saya mau upload tugas malah tidak ada portalnya adahal teman-teman yg lain tidak ada error sama sekali hari ini deadline saya sudah kirim email tapi tidak di respon bagaimana ini,tolong saya mau upload tugas malah tidak ada portalnya adahal temanteman yg lain tidak ada error sama sekali hari ini deadline saya sudah kirim email tapi tidak di respon bagaimana ini
Apk tidak bisa di pakai tidak ada notifikasi tugas,Apk tidak bisa di pakai tidak ada notifikasi tugas
Ini kenapa sih nggak bisa menggabungkan dengan akun Perguruan tinggi,Ini kenapa sih nggak bisa menggabungkan dengan akun Perguruan tinggi
Siang ka. Knapa di hp saya edlink nya tidak bisa di install. Sedangkan aplikasi yang lebih besar dari edlink bisa? Terimakasih.,Siang ka Knapa di hp saya edlink nya tidak bisa di install Sedangkan aplikasi yang lebih besar dari edlink bisa Terimakasih
Tak bisa login padahal username dan pw sudah benar,Tak bisa login padahal username dan pw sudah benar
"NOTIF GETAR AMPAS, UDAH DI MATIIN TAPI TETEP GETAR. SAMPAH",NOTIF GETAR AMPAS UDAH DI MATIIN TAPI TETEP GETAR SAMPAH
"Kenapa edlink sering sekali keluar otomatis, sampai sampai ingin masukan kata sandi, tidak bisa, padahal kata sandinya sudah benar, tolong dongggggg",Kenapa edlink sering sekali keluar otomatis sampai sampai ingin masukan kata sandi tidak bisa padahal kata sandinya sudah benar tolong dongggggg
"Setelah edlink di update, saya coba login dengan akun saya tapi tidak bisa, mohon arahannya kenapa bisa seperti ini??? Padahal banyak data-data penting yang mau saya ambil🙏🏻🙏🏻🙏🏻 terus kemudian edlinknya malah tidak muncul di layar utama HP🙏🏻🙏🏻🙏🏻",Setelah edlink di update saya coba login dengan akun saya tapi tidak bisa mohon arahannya kenapa bisa seperti ini Padahal banyak datadata penting yang mau saya ambil terus kemudian edlinknya malah tidak muncul di layar utama HP
Pengen serius kuliah malah aplikasi ngebug. Menghambat bikin malas. Tolong banget bikin menghambat banget. Tolong segera perbaiki.,Pengen serius kuliah malah aplikasi ngebug Menghambat bikin malas Tolong banget bikin menghambat banget Tolong segera perbaiki
So,So
"T tak tu tu ttp td tau rt5tzx tu yg tau dss di, dunia z dr dr d CD d",T tak tu tu ttp td tau rttzx tu yg tau dss di dunia z dr dr d CD d
"Sangat bagus dan bermanfaat sekali bagi saya, terimakasih 🙏",Sangat bagus dan bermanfaat sekali bagi saya terimakasih
Saya sangat merasa terbantu dengan adanya aplikasi edlink mempermudah saya untuk mengetahu nilai dan mata kuliah saya beserta hasil ujian,Saya sangat merasa terbantu dengan adanya aplikasi edlink mempermudah saya untuk mengetahu nilai dan mata kuliah saya beserta hasil ujian
Sudah lumayan baik,Sudah lumayan baik
Bagus. Sangat membantu,Bagus Sangat membantu
Kok di edlink nilai aku yg semester ini malah kecampur sama Nilai semester kmren ya,Kok di edlink nilai aku yg semester ini malah kecampur sama Nilai semester kmren ya
Kenapa saya tidak bisa login padahal Nim sama password saya sudah benar,Kenapa saya tidak bisa login padahal Nim sama password saya sudah benar
Susah nginstalnya,Susah nginstalnya
Masa aku udah bayar ukt tpi statusnya belum bayar. Kan jadi ga bisa ngisi KRS,Masa aku udah bayar ukt tpi statusnya belum bayar Kan jadi ga bisa ngisi KRS
Ini kenapa yah setiap saya mau login koneksi server bermasalah terus?,Ini kenapa yah setiap saya mau login koneksi server bermasalah terus
Belom bisa pake paylater,Belom bisa pake paylater
"Saya kasih bintang 1 apa"" an kaya gini saya yg tidak bisa ngerjain tugas karena edlink saya engga mau ke buka Nim saya pasword saya udh betul ko keterangan nya malah di suruh cek ulang sudah saya coba masuk lagi hasilnya tetap sama tolong diperbaiki lagi dong kalo begini terganggu tugas kuliah yang mau saya kerjakan",Saya kasih bintang  apa an kaya gini saya yg tidak bisa ngerjain tugas karena edlink saya engga mau ke buka Nim saya pasword saya udh betul ko keterangan nya malah di suruh cek ulang sudah saya coba masuk lagi hasilnya tetap sama tolong diperbaiki lagi dong kalo begini terganggu tugas kuliah yang mau saya kerjakan
"Ngapa dah kampus gue kerjasama sama ini aplikasi nyusahin doang sistemnya belum siap datanya gak cocok mau bayar ukt ribet banget, aplikasi nyusahin",Ngapa dah kampus gue kerjasama sama ini aplikasi nyusahin doang sistemnya belum siap datanya gak cocok mau bayar ukt ribet banget aplikasi nyusahin
"Semenjak di Update beberapa Minggu lalu, kok Pas buka edlink yg muncul bukan Nilai D4 saat ini, tp yg muncul Nilai D3 beberpa tahun lalu, itupun hnya sebagian yg muncul",Semenjak di Update beberapa Minggu lalu kok Pas buka edlink yg muncul bukan Nilai D saat ini tp yg muncul Nilai D beberpa tahun lalu itupun hnya sebagian yg muncul
"Makin kesini makin gjls,mending download epep",Makin kesini makin gjlsmending download epep
Sangat bagus sekali 🥰👌,Sangat bagus sekali 🥰
"Mau Bayar ukt tapi harus ngisi email/no.handphone padahal udah keisi semua, gimana ya min? Mohon dibalas secepatnya 😭🙏",Mau Bayar ukt tapi harus ngisi emailnohandphone padahal udah keisi semua gimana ya min Mohon dibalas secepatnya
"Kenapasi hrus ada update² segala enakan kaya kemaren ngaksesnya ga repot, skrg masa harus masukan ini dulu ini dulu ribet, orang pengen liat nilai aja susah, tolong deh gausah di update² sesuatu yang udah memudahkan, hal² yg di cari skrg tuh yang ga ngeribetin, ini malah di upgrade ke hal² ga jelas, udah enak enak dulu login cuma masukin nim sama kata sandi malah diubah",Kenapasi hrus ada update² segala enakan kaya kemaren ngaksesnya ga repot skrg masa harus masukan ini dulu ini dulu ribet orang pengen liat nilai aja susah tolong deh gausah di update² sesuatu yang udah memudahkan hal² yg di cari skrg tuh yang ga ngeribetin ini malah di upgrade ke hal² ga jelas udah enak enak dulu login cuma masukin nim sama kata sandi malah diubah
Terima kasih atas fasilitas ini,Terima kasih atas fasilitas ini
Kenapa dowload di iphone ngga bisa sihhh,Kenapa dowload di iphone ngga bisa sihhh
Masalah kelas hilang sudah terselaikan berkat bantuan admin. Terima Kasih,Masalah kelas hilang sudah terselaikan berkat bantuan admin Terima Kasih
"Apaan nilai di web kampus sama edlink beda jauh, gak ada ya di web kampus mengulang matkul eh ini nilainya malah anjlok, data nya yang bener dong. Mendingan gak usah pake aplikasi ini gak bener datanya, bikin emosi aja liatnya",Apaan nilai di web kampus sama edlink beda jauh gak ada ya di web kampus mengulang matkul eh ini nilainya malah anjlok data nya yang bener dong Mendingan gak usah pake aplikasi ini gak bener datanya bikin emosi aja liatnya
Halo kak tolong untuk developer nya agar memudah download file materi dan tugas yg di bagikan oleh dosen dengan menaruh tombol unduh dan langsung mengunduh di aplikasi tanpa menggunakan pihak ketiga🙏,Halo kak tolong untuk developer nya agar memudah download file materi dan tugas yg di bagikan oleh dosen dengan menaruh tombol unduh dan langsung mengunduh di aplikasi tanpa menggunakan pihak ketiga
"Edlink taekkkk, gabisa d akses d web",Edlink taekkkk gabisa d akses d web
login ajjj susah,login ajjj susah
"Ini matakuliah saya hilang hilang tak betul lah, kalo di lulusin nggak apa juga ni tugas saya numpuk nggak bisa ngirim tugas, kacau lah",Ini matakuliah saya hilang hilang tak betul lah kalo di lulusin nggak apa juga ni tugas saya numpuk nggak bisa ngirim tugas kacau lah
tidak ada kejelasan untuk pembayaran dengan sevima pay,tidak ada kejelasan untuk pembayaran dengan sevima pay
Mantap,Mantap
"Apk Gk bisa dibuka padahal buka youtube,ig dll bisa, saya jadi sering telat kirim tugas dan masuk kuliah online",Apk Gk bisa dibuka padahal buka youtubeig dll bisa saya jadi sering telat kirim tugas dan masuk kuliah online
"Udah ga bisa scan, sekarang malah error lagi. Woi kenapa malah jadwal kuliah saya ke apus dari kalender",Udah ga bisa scan sekarang malah error lagi Woi kenapa malah jadwal kuliah saya ke apus dari kalender
Disuruh buka di aplikasi padahal udah di aplikasi 😭😭 lihat jawaban quiz,Disuruh buka di aplikasi padahal udah di aplikasi  lihat jawaban quiz
Ini kuis gabisa di klik gimana malah diarahkan ke aplikasi kan udah download aplikasi nya udah update juga ngapa malah diarahin keaplikasi lagi ujung ujungnya gabisa,Ini kuis gabisa di klik gimana malah diarahkan ke aplikasi kan udah download aplikasi nya udah update juga ngapa malah diarahin keaplikasi lagi ujung ujungnya gabisa
plis dong lagian quiz ini gw gabisa akses quiz nya,plis dong lagian quiz ini gw gabisa akses quiz nya
Tiba-tiba ga ada angin ga ada ujan akun anda terblokir padahal kemaren² baik² aja kok skrg pas gue mau buka kkaga bisa,Tibatiba ga ada angin ga ada ujan akun anda terblokir padahal kemaren² baik² aja kok skrg pas gue mau buka kkaga bisa
"Kenapa ada update di hari Minggu? Saya jadi tidak bisa login karena ada tulisan silakan login melalui SSO, tapi diklik tidak ada respons. Sudah dicoba melalui laptop, handphone, komputer sama saja. Sekarang bagaimana ini saya mau mengumpulkan tugas, hari ini deadline. Tahu tidak hal mendasar dari update, jika tidak ada yang rusak mengapa diperbarui? Tim Sevima, ayolah jika ada update dicek dahulu dengan benar baru diterapkan, buat aplikasi kok banyak error begini.",Kenapa ada update di hari Minggu Saya jadi tidak bisa login karena ada tulisan silakan login melalui SSO tapi diklik tidak ada respons Sudah dicoba melalui laptop handphone komputer sama saja Sekarang bagaimana ini saya mau mengumpulkan tugas hari ini deadline Tahu tidak hal mendasar dari update jika tidak ada yang rusak mengapa diperbarui Tim Sevima ayolah jika ada update dicek dahulu dengan benar baru diterapkan buat aplikasi kok banyak error begini
"Lumayan membantu, hanya saja setelah tugas diserahkan tidak ada arsipnya",Lumayan membantu hanya saja setelah tugas diserahkan tidak ada arsipnya
Dl bagus..tp skrng sudah gsering bermasalah...yg loading nya lama banget,Dl bagustp skrng sudah gsering bermasalahyg loading nya lama banget
GOOD APP... TX...,GOOD APP TX
"tambahkan fitur scan barcode dari galeri, jangan menyusahkan user",tambahkan fitur scan barcode dari galeri jangan menyusahkan user
"Yeee scan barcode nya udah bisa dong. Buat yang lain kalo scan barcode nya blur, coba ubah ukuran font nya jadi paling kecil, nanti scan barcode nya pasti jernih lagi. Sukses selaluu, ini aplikasi membantu bgt buat perkuliahan🤍",Yeee scan barcode nya udah bisa dong Buat yang lain kalo scan barcode nya blur coba ubah ukuran font nya jadi paling kecil nanti scan barcode nya pasti jernih lagi Sukses selaluu ini aplikasi membantu bgt buat perkuliahan🤍
sangat baik,sangat baik
"LEMOT ASW NGESTALK DI LOGO TERUS LOADING LAMA WIFI KENCENG TETEO GA NGARUH , NGIRIM FILE LAMA BANGET, LOADINGNYA LAMA ANJG NI APK TEKAT NGUMPULIN TUGAS",LEMOT ASW NGESTALK DI LOGO TERUS LOADING LAMA WIFI KENCENG TETEO GA NGARUH  NGIRIM FILE LAMA BANGET LOADINGNYA LAMA ANJG NI APK TEKAT NGUMPULIN TUGAS
Ok,Ok
Ngebug parah baru Download. Loading lama pencarian universitas,Ngebug parah baru Download Loading lama pencarian universitas
Parah edlink sekarang scan absen nge-blur tolong cepat diperbaiki🙏,Parah edlink sekarang scan absen ngeblur tolong cepat diperbaiki
ok,ok
Good,Good
Lemot,Lemot
"teruntuk developer edlink saya tidak bisa presensi barcode di karenakan kamera dari edlink buram dan tidak bisa nge scan barcode, padahal saya coba di kamera hp bawaan jernih. mungkin ada bug di aplikasi edlink, hp saya oppo a54 mohon perbaiki secepatnya karena sangat mengganggu aktivitas perkuliahan saya. mohon segera di perbaiki secepatnya, terimakasih.",teruntuk developer edlink saya tidak bisa presensi barcode di karenakan kamera dari edlink buram dan tidak bisa nge scan barcode padahal saya coba di kamera hp bawaan jernih mungkin ada bug di aplikasi edlink hp saya oppo a mohon perbaiki secepatnya karena sangat mengganggu aktivitas perkuliahan saya mohon segera di perbaiki secepatnya terimakasih
Edlink eror loading terus kek mana buat tugas,Edlink eror loading terus kek mana buat tugas
Ini mau update apa gimna? Lemot bngt! Tugas numpuk woyyyy tolong laah,Ini mau update apa gimna Lemot bngt Tugas numpuk woyyyy tolong laah
"banyak banget bug, ni aplikasi padahal dipake sm buanyak banget universitas loh, secepatnya lah di perbaiki bug itu",banyak banget bug ni aplikasi padahal dipake sm buanyak banget universitas loh secepatnya lah di perbaiki bug itu
"Gara"" muser mulu 15 soal baruku kerjakan 2 soal kalo gini gmana bro?",Gara muser mulu  soal baruku kerjakan  soal kalo gini gmana bro
"Di perbaikilah dikit² server eror kocak amat, orang mau ngumpul tugas juga ribet",Di perbaikilah dikit² server eror kocak amat orang mau ngumpul tugas juga ribet
Perbaiki masalah sinyal lah. Mau ngumpul tugas susah amat,Perbaiki masalah sinyal lah Mau ngumpul tugas susah amat
Ngelag trus aneh,Ngelag trus aneh
Good,Good
"Semakin di update, scan kamera jadi kabus, jadi nggak guna ni aplikasi",Semakin di update scan kamera jadi kabus jadi nggak guna ni aplikasi
"kalau sy kamera kode QR sy yang buram padahal sy cek kamera pake fhoto hasilnya bagus, nah pas mau absen lewat kode QR malah kameranya buram, gimana nih solusinya",kalau sy kamera kode QR sy yang buram padahal sy cek kamera pake fhoto hasilnya bagus nah pas mau absen lewat kode QR malah kameranya buram gimana nih solusinya
Cukup membantu dalam sistem perkuliahan online,Cukup membantu dalam sistem perkuliahan online
"Kenapa di saya aplikasi ini keseringan nge bug? Dang nge bug nya selalu di saat saya ada kelas ataupun mau menyetor kan tugas, tolong segera di perbaiki kak Terimakasih",Kenapa di saya aplikasi ini keseringan nge bug Dang nge bug nya selalu di saat saya ada kelas ataupun mau menyetor kan tugas tolong segera di perbaiki kak Terimakasih
"Kenapa ketika presensi QR kamera nya buram ya min? sehingga saya nggak bisa isi absen, padahal kamera asli saya jernih lohh😢",Kenapa ketika presensi QR kamera nya buram ya min sehingga saya nggak bisa isi absen padahal kamera asli saya jernih lohh
"Kadang membantu kadang bikin jengkel. Tapi lebih banyak bikin jengkelnya. Ambil contoh aja pas ada tugas, yang di tambah dateline mepet dan harus kirim lewat edlink, masak pas mau masuk malah terjadi kesalah pada server. Udah aku lakuin segala cara masih aja kayak gitu. Alhasil bukanya membantu malah datelin terlewat dan gakbisa di kumpulin. Di mohon untuk di perbaiki lagi. Jangan cuman update terus, tapi gak ada perkembangan yang signifikan",Kadang membantu kadang bikin jengkel Tapi lebih banyak bikin jengkelnya Ambil contoh aja pas ada tugas yang di tambah dateline mepet dan harus kirim lewat edlink masak pas mau masuk malah terjadi kesalah pada server Udah aku lakuin segala cara masih aja kayak gitu Alhasil bukanya membantu malah datelin terlewat dan gakbisa di kumpulin Di mohon untuk di perbaiki lagi Jangan cuman update terus tapi gak ada perkembangan yang signifikan
Muter teruuss,Muter teruuss
"Admin kenapa Tidak bisa absen menggunakan barcode di edlink, menggunakan akun ku, biasa bisa tapi kali ini tidak bisa lagi, mohon solusinya adamin",Admin kenapa Tidak bisa absen menggunakan barcode di edlink menggunakan akun ku biasa bisa tapi kali ini tidak bisa lagi mohon solusinya adamin
Sudah bisa kak alhamdulillah,Sudah bisa kak alhamdulillah
"Absen perlu pakai 2 device ? Ntah gw yg gk tau cara absen cuma pakai 1 device aja atau emng aplikasi ini emng msh banyak yg cacat, masa untuk absensi perlu pakai 2 device",Absen perlu pakai  device  Ntah gw yg gk tau cara absen cuma pakai  device aja atau emng aplikasi ini emng msh banyak yg cacat masa untuk absensi perlu pakai  device
Memudahhkan mahasiswa dalam akses studinya,Memudahhkan mahasiswa dalam akses studinya
Camera nya buram setelan update,Camera nya buram setelan update
Notivikasi sering tidak muncul sehingga sering ketinggalan informasi. Tolong ditingkatkan kembali 🙏🏻,Notivikasi sering tidak muncul sehingga sering ketinggalan informasi Tolong ditingkatkan kembali
Bug sendiri anehhh,Bug sendiri anehhh
"apk nya sngt membantu, tapi kdng suka eror",apk nya sngt membantu tapi kdng suka eror
Kenapa setelah saya update ke versi terbaru malah utk absensi di diskusi tdk bisa ? Padahal sebelumnya bisa. Tlg di tanggapi ya. Thanks,Kenapa setelah saya update ke versi terbaru malah utk absensi di diskusi tdk bisa  Padahal sebelumnya bisa Tlg di tanggapi ya Thanks
Out,Out
"Untuk developer membuat sebuah sistem memang sulit. ini adalah sebuah pencapaian yang luar biasa, Terimakasih Developer telah menangapi Masukan dan melakukan beberapa pembaruan pada sistem seperti sekarang dapat melihat file tugas yang akan di kirim. 🙏 Terimakasih ❤️🤝",Untuk developer membuat sebuah sistem memang sulit ini adalah sebuah pencapaian yang luar biasa Terimakasih Developer telah menangapi Masukan dan melakukan beberapa pembaruan pada sistem seperti sekarang dapat melihat file tugas yang akan di kirim  Terimakasih ❤️🤝
