content,content_clean,content_preprocessing
Perbaiki bug tiba tiba tidak bisa mengunduh dan Untuk presensi QR Barcode/absensi Adakan fitur ambil gambar dari galeri,perbaiki bug tiba tiba tidak bisa mengunduh dan untuk presensi qr barcodeabsensi adakan fitur ambil gambar dari galeri,"['perbaiki', 'bug', 'tiba', 'tiba', 'tidak', 'bisa', 'mengunduh', 'dan', 'untuk', 'presensi', 'qr', 'barcodeabsensi', 'adakan', 'fitur', 'ambil', 'gambar', 'dari', 'galeri']"
"Padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut, ganggu",padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut ganggu,"['padahal', 'postingan', 'dosen', 'kok', 'dikirim', 'notif', 'juga', 'ke', 'mahasiswa', 'saat', 'ada', 'yang', 'menanggapi', 'postingan', 'tersebut', 'ganggu']"
TAMBAHKAN FITUR ZOOM UNTUK ABSENSI TOLONGGGG DI PRESENSI QR AGAR SAAT ABSEN TIAK HARUS KEDEPAN,tambahkan fitur zoom untuk absensi tolongggg di presensi qr agar saat absen tiak harus kedepan,"['tambahkan', 'fitur', 'zoom', 'untuk', 'absensi', 'tolongggg', 'di', 'presensi', 'qr', 'agar', 'saat', 'absen', 'tiak', 'harus', 'kedepan']"
"Kok selalu jaringan bermasalah ya? Padahal jaringan saya lancar, jadi saya tidak mengumpul tugas dengan tepat waktu. Mohon perbaiki lagi apknya.",kok selalu jaringan bermasalah ya padahal jaringan saya lancar jadi saya tidak mengumpul tugas dengan tepat waktu mohon perbaiki lagi apknya,"['kok', 'selalu', 'jaringan', 'bermasalah', 'ya', 'padahal', 'jaringan', 'saya', 'lancar', 'jadi', 'saya', 'tidak', 'mengumpul', 'tugas', 'dengan', 'tepat', 'waktu', 'mohon', 'perbaiki', 'lagi', 'apknya']"
"Kok gak bisa ke buka aplikasi, katanya ""gak ada koneksi internet"" padahal udah forji jaringannya",kok gak bisa ke buka aplikasi katanya gak ada koneksi internet padahal udah forji jaringannya,"['kok', 'gak', 'bisa', 'ke', 'buka', 'aplikasi', 'katanya', 'gak', 'ada', 'koneksi', 'internet', 'padahal', 'udah', 'forji', 'jaringannya']"
"Udah hadir 3 pertemuan scane code tetep keterangan nya 0 0 0 0 Terus notif telat muncul, jadwal ngaco dll Apk ini masih prematur udah launching jadi gini dah, bukanya mempermudah malah ribet",udah hadir  pertemuan scane code tetep keterangan nya     terus notif telat muncul jadwal ngaco dll apk ini masih prematur udah launching jadi gini dah bukanya mempermudah malah ribet,"['udah', 'hadir', 'pertemuan', 'scane', 'code', 'tetep', 'keterangan', 'nya', 'terus', 'notif', 'telat', 'muncul', 'jadwal', 'ngaco', 'dll', 'apk', 'ini', 'masih', 'prematur', 'udah', 'launching', 'jadi', 'gini', 'dah', 'bukanya', 'mempermudah', 'malah', 'ribet']"
"Kok gini amat apkx,,masalah koneksi truss pdahl jriganku bgus lo",kok gini amat apkxmasalah koneksi truss pdahl jriganku bgus lo,"['kok', 'gini', 'amat', 'apkxmasalah', 'koneksi', 'truss', 'pdahl', 'jriganku', 'bgus', 'lo']"
"Halo! Saya mau bertanya, kenapa jadwal di kalender edlink saya gak muncul ya? jadi kalo mau liat jadwal keseluruhan susah, mohon tanggapannya.",halo saya mau bertanya kenapa jadwal di kalender edlink saya gak muncul ya jadi kalo mau liat jadwal keseluruhan susah mohon tanggapannya,"['halo', 'saya', 'mau', 'bertanya', 'kenapa', 'jadwal', 'di', 'kalender', 'edlink', 'saya', 'gak', 'muncul', 'ya', 'jadi', 'kalo', 'mau', 'liat', 'jadwal', 'keseluruhan', 'susah', 'mohon', 'tanggapannya']"
"Ini gimana ya? Makin jelek edlink skrng, pdhl kemarin sudah membayar di bank, tpi keterangan transaksi belum berhasil",ini gimana ya makin jelek edlink skrng pdhl kemarin sudah membayar di bank tpi keterangan transaksi belum berhasil,"['ini', 'gimana', 'ya', 'makin', 'jelek', 'edlink', 'skrng', 'pdhl', 'kemarin', 'sudah', 'membayar', 'di', 'bank', 'tpi', 'keterangan', 'transaksi', 'belum', 'berhasil']"
"Harusnya yaaa setelah pemeliharaan sistem ituuu, aplikasinya semakin bagus tapi ini enggak Malah ngedown dan error' yang merugikan penggunanya Udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect Ini gimana yaaa sistemnya, kalau bisa bikin aplikasi jangan merugikan penggunanya",harusnya yaaa setelah pemeliharaan sistem ituuu aplikasinya semakin bagus tapi ini enggak malah ngedown dan error yang merugikan penggunanya udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect ini gimana yaaa sistemnya kalau bisa bikin aplikasi jangan merugikan penggunanya,"['harusnya', 'yaaa', 'setelah', 'pemeliharaan', 'sistem', 'ituuu', 'aplikasinya', 'semakin', 'bagus', 'tapi', 'ini', 'enggak', 'malah', 'ngedown', 'dan', 'error', 'yang', 'merugikan', 'penggunanya', 'udah', 'mbayar', 'tagihan', 'sesuai', 'yang', 'ditentukan', 'dan', 'nomer', 'tujuan', 'pengiriman', 'juga', 'benar', 'tapi', 'di', 'aplikasi', 'malah', 'ga', 'ke', 'detect', 'ini', 'gimana', 'yaaa', 'sistemnya', 'kalau', 'bisa', 'bikin', 'aplikasi', 'jangan', 'merugikan', 'penggunanya']"
"Tingkatkan lagi, jangan ad masalah lagi👌👌",tingkatkan lagi jangan ad masalah lagi,"['tingkatkan', 'lagi', 'jangan', 'ad', 'masalah', 'lagi']"
nyusahin,nyusahin,['nyusahin']
"Tidak bisa buka aplikasi. ""Masalah koneksi tidak terhubung ke internet"". Padahal kuota internet masih ada. Sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama. Apa sedang ada gangguan server/bagaimana?",tidak bisa buka aplikasi masalah koneksi tidak terhubung ke internet padahal kuota internet masih ada sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama apa sedang ada gangguan serverbagaimana,"['tidak', 'bisa', 'buka', 'aplikasi', 'masalah', 'koneksi', 'tidak', 'terhubung', 'ke', 'internet', 'padahal', 'kuota', 'internet', 'masih', 'ada', 'sudah', 'coba', 'buka', 'di', 'perangkat', 'yg', 'berbeda', 'namun', 'hasilnya', 'tetap', 'sama', 'apa', 'sedang', 'ada', 'gangguan', 'serverbagaimana']"
"Kenapa saya sering dapat gangguan jaringan min, aplikasinya gk bisa dibuka",kenapa saya sering dapat gangguan jaringan min aplikasinya gk bisa dibuka,"['kenapa', 'saya', 'sering', 'dapat', 'gangguan', 'jaringan', 'min', 'aplikasinya', 'gk', 'bisa', 'dibuka']"
"ini servernya yg eror atau bagaimana? pas buka aplikasi loading mulu. katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom, zoom, dll aman aman aja.",ini servernya yg eror atau bagaimana pas buka aplikasi loading mulu katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom zoom dll aman aman aja,"['ini', 'servernya', 'yg', 'eror', 'atau', 'bagaimana', 'pas', 'buka', 'aplikasi', 'loading', 'mulu', 'katanya', 'gk', 'ada', 'jaringan', 'padahal', 'buat', 'buka', 'aplikasi', 'seperti', 'google', 'classroom', 'zoom', 'dll', 'aman', 'aman', 'aja']"
"tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk, saya punya tugas deadline nya soreee! tolong diperbaiki secepatnyaaaa",tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk saya punya tugas deadline nya soreee tolong diperbaiki secepatnyaaaa,"['tolong', 'dong', 'ini', 'edlink', 'dari', 'tdi', 'saya', 'login', 'tapi', 'tidak', 'bisa', 'masuk', 'saya', 'punya', 'tugas', 'deadline', 'nya', 'soreee', 'tolong', 'diperbaiki', 'secepatnyaaaa']"
Maaf min knpa notif tugas nya masuk setelah 20 mnit.... Kan jdi telat masuk klas nya Mohon di perbaiki,maaf min knpa notif tugas nya masuk setelah  mnit kan jdi telat masuk klas nya mohon di perbaiki,"['maaf', 'min', 'knpa', 'notif', 'tugas', 'nya', 'masuk', 'setelah', 'mnit', 'kan', 'jdi', 'telat', 'masuk', 'klas', 'nya', 'mohon', 'di', 'perbaiki']"
apk rusakkkk,apk rusakkkk,"['apk', 'rusakkkk']"
Edlink saya error terus gak muncul jadwal di kalender nya gk muncul pembayaran kenapa ya aneh 🤔 jadi suka lupa kalo gak muncul jadwal nya,edlink saya error terus gak muncul jadwal di kalender nya gk muncul pembayaran kenapa ya aneh 🤔 jadi suka lupa kalo gak muncul jadwal nya,"['edlink', 'saya', 'error', 'terus', 'gak', 'muncul', 'jadwal', 'di', 'kalender', 'nya', 'gk', 'muncul', 'pembayaran', 'kenapa', 'ya', 'aneh', '🤔', 'jadi', 'suka', 'lupa', 'kalo', 'gak', 'muncul', 'jadwal', 'nya']"
"masih ada bug, suka keluar sendiri",masih ada bug suka keluar sendiri,"['masih', 'ada', 'bug', 'suka', 'keluar', 'sendiri']"
Bagus,bagus,['bagus']
Sangat membantu.. 😍,sangat membantu,"['sangat', 'membantu']"
Keren,keren,['keren']
Dipakenya jadi enggak jelas kaya dulu,dipakenya jadi enggak jelas kaya dulu,"['dipakenya', 'jadi', 'enggak', 'jelas', 'kaya', 'dulu']"
tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya 0 semua. Sudah saya unistall dan reinstall tapi masih begitu 🥲,tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya  semua sudah saya unistall dan reinstall tapi masih begitu 🥲,"['tolong', 'dibagian', 'absensi', 'agar', 'diperbaiki', 'dong', 'padahal', 'masuk', 'kelas', 'terus', 'dan', 'absen', 'juga', 'selalu', 'ditick', 'dosen', 'tapi', 'kenapa', 'di', 'kehadiran', 'saya', 'semua', 'sudah', 'saya', 'unistall', 'dan', 'reinstall', 'tapi', 'masih', 'begitu', '🥲']"
Selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari,selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari,"['selalu', 'ngelag', 'aplikasi', 'nya', 'disaat', 'ada', 'tugas', 'yang', 'harus', 'dikerjakan', 'tidak', 'langsung', 'masuk', 'delay', 'beberapa', 'hari']"
"Saran, Tambahkan fitur zoom in/out, saat Presensi QR!",saran tambahkan fitur zoom inout saat presensi qr,"['saran', 'tambahkan', 'fitur', 'zoom', 'inout', 'saat', 'presensi', 'qr']"
Apk ini sangat membantu para maha siswa stikes panti rapih Yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi 🙏,apk ini sangat membantu para maha siswa stikes panti rapih yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi,"['apk', 'ini', 'sangat', 'membantu', 'para', 'maha', 'siswa', 'stikes', 'panti', 'rapih', 'yogyakarta', 'untuk', 'memgakses', 'materi', 'mata', 'kuliah', 'dan', 'masih', 'banyak', 'lagi']"
Absensi edlink nya selalu bermasalah,absensi edlink nya selalu bermasalah,"['absensi', 'edlink', 'nya', 'selalu', 'bermasalah']"
"Masih kurang sinkron dengan SIADIKNONA kampus, ada beberapa kelas yang tidak muncul, nilai di KHS/KRS juga.",masih kurang sinkron dengan siadiknona kampus ada beberapa kelas yang tidak muncul nilai di khskrs juga,"['masih', 'kurang', 'sinkron', 'dengan', 'siadiknona', 'kampus', 'ada', 'beberapa', 'kelas', 'yang', 'tidak', 'muncul', 'nilai', 'di', 'khskrs', 'juga']"
Min kenapa saat login tidak bisa. Pke akun google. Padahal dulu pernah. Tp saat instal ulang dan login ulang jdi tdk bisa masuk....,min kenapa saat login tidak bisa pke akun google padahal dulu pernah tp saat instal ulang dan login ulang jdi tdk bisa masuk,"['min', 'kenapa', 'saat', 'login', 'tidak', 'bisa', 'pke', 'akun', 'google', 'padahal', 'dulu', 'pernah', 'tp', 'saat', 'instal', 'ulang', 'dan', 'login', 'ulang', 'jdi', 'tdk', 'bisa', 'masuk']"
"Gabisa ubah profil aneh bgt, pdhl penting buat nandain kita dari orang lain dlm bukti pengiriman tugas",gabisa ubah profil aneh bgt pdhl penting buat nandain kita dari orang lain dlm bukti pengiriman tugas,"['gabisa', 'ubah', 'profil', 'aneh', 'bgt', 'pdhl', 'penting', 'buat', 'nandain', 'kita', 'dari', 'orang', 'lain', 'dlm', 'bukti', 'pengiriman', 'tugas']"
"Kenapa edlink suka tibatiba ke log out sendirii, dan tibatiba ngga bisa absen jugaa:))))))",kenapa edlink suka tibatiba ke log out sendirii dan tibatiba ngga bisa absen jugaa,"['kenapa', 'edlink', 'suka', 'tibatiba', 'ke', 'log', 'out', 'sendirii', 'dan', 'tibatiba', 'ngga', 'bisa', 'absen', 'jugaa']"
Tiba tiba EdLink saya error,tiba tiba edlink saya error,"['tiba', 'tiba', 'edlink', 'saya', 'error']"
Semenjak di update gak bisa log in terus padahal email sudah benar...,semenjak di update gak bisa log in terus padahal email sudah benar,"['semenjak', 'di', 'update', 'gak', 'bisa', 'log', 'in', 'terus', 'padahal', 'email', 'sudah', 'benar']"
EdLink saya tidak bisa login/ dibuka,edlink saya tidak bisa login dibuka,"['edlink', 'saya', 'tidak', 'bisa', 'login', 'dibuka']"
Tolong dong untuk presensi buat ambil kode barcode lewat foto yang tersimpan saya kalau tidak ada fitur itu jadi kesulitan karena hp saya 1 dan keadaannya saya sedang sendirian di jalan tolong buat fitur itu,tolong dong untuk presensi buat ambil kode barcode lewat foto yang tersimpan saya kalau tidak ada fitur itu jadi kesulitan karena hp saya  dan keadaannya saya sedang sendirian di jalan tolong buat fitur itu,"['tolong', 'dong', 'untuk', 'presensi', 'buat', 'ambil', 'kode', 'barcode', 'lewat', 'foto', 'yang', 'tersimpan', 'saya', 'kalau', 'tidak', 'ada', 'fitur', 'itu', 'jadi', 'kesulitan', 'karena', 'hp', 'saya', 'dan', 'keadaannya', 'saya', 'sedang', 'sendirian', 'di', 'jalan', 'tolong', 'buat', 'fitur', 'itu']"
shifa,shifa,['shifa']
"maaf saya tarik kembali bintang satunya, maaf ya, tugasku sudah kelihatan tadi tidak padahal karena loadingnya lama, mamaku bilang kalau kita harus jujur, terimakasih atas aplikasinya",maaf saya tarik kembali bintang satunya maaf ya tugasku sudah kelihatan tadi tidak padahal karena loadingnya lama mamaku bilang kalau kita harus jujur terimakasih atas aplikasinya,"['maaf', 'saya', 'tarik', 'kembali', 'bintang', 'satunya', 'maaf', 'ya', 'tugasku', 'sudah', 'kelihatan', 'tadi', 'tidak', 'padahal', 'karena', 'loadingnya', 'lama', 'mamaku', 'bilang', 'kalau', 'kita', 'harus', 'jujur', 'terimakasih', 'atas', 'aplikasinya']"
kata nuri bagus dan membantu pembelajaran,kata nuri bagus dan membantu pembelajaran,"['kata', 'nuri', 'bagus', 'dan', 'membantu', 'pembelajaran']"
"aplikasi makin aneh, mau bayar lewat mandiri pun gak bisa, pass di TF muncul tulisan, maaf rekening ini tidak di temukan, trus satu lagi, kok tagihan SPP jadi doubel, padahal pas liat beberapa hari yang lalu gak gitu, kalo satunya buat semseter 4 sangat tidak logis, baru aja masuk semseter 3 masa udah ada tagihan semester 4",aplikasi makin aneh mau bayar lewat mandiri pun gak bisa pass di tf muncul tulisan maaf rekening ini tidak di temukan trus satu lagi kok tagihan spp jadi doubel padahal pas liat beberapa hari yang lalu gak gitu kalo satunya buat semseter  sangat tidak logis baru aja masuk semseter  masa udah ada tagihan semester,"['aplikasi', 'makin', 'aneh', 'mau', 'bayar', 'lewat', 'mandiri', 'pun', 'gak', 'bisa', 'pass', 'di', 'tf', 'muncul', 'tulisan', 'maaf', 'rekening', 'ini', 'tidak', 'di', 'temukan', 'trus', 'satu', 'lagi', 'kok', 'tagihan', 'spp', 'jadi', 'doubel', 'padahal', 'pas', 'liat', 'beberapa', 'hari', 'yang', 'lalu', 'gak', 'gitu', 'kalo', 'satunya', 'buat', 'semseter', 'sangat', 'tidak', 'logis', 'baru', 'aja', 'masuk', 'semseter', 'masa', 'udah', 'ada', 'tagihan', 'semester']"
"Mau login pake siakad tapi gak bisa, malah disuruh masukin email(?)",mau login pake siakad tapi gak bisa malah disuruh masukin email,"['mau', 'login', 'pake', 'siakad', 'tapi', 'gak', 'bisa', 'malah', 'disuruh', 'masukin', 'email']"
Aku udah nerima kode Verifikasi berkali² tapi ttp nggak bisa dasar error,aku udah nerima kode verifikasi berkali² tapi ttp nggak bisa dasar error,"['aku', 'udah', 'nerima', 'kode', 'verifikasi', 'berkali²', 'tapi', 'ttp', 'nggak', 'bisa', 'dasar', 'error']"
tolong saya mau upload tugas malah tidak ada portalnya adahal teman-teman yg lain tidak ada error sama sekali hari ini deadline saya sudah kirim email tapi tidak di respon bagaimana ini,tolong saya mau upload tugas malah tidak ada portalnya adahal temanteman yg lain tidak ada error sama sekali hari ini deadline saya sudah kirim email tapi tidak di respon bagaimana ini,"['tolong', 'saya', 'mau', 'upload', 'tugas', 'malah', 'tidak', 'ada', 'portalnya', 'adahal', 'temanteman', 'yg', 'lain', 'tidak', 'ada', 'error', 'sama', 'sekali', 'hari', 'ini', 'deadline', 'saya', 'sudah', 'kirim', 'email', 'tapi', 'tidak', 'di', 'respon', 'bagaimana', 'ini']"
Apk tidak bisa di pakai tidak ada notifikasi tugas,apk tidak bisa di pakai tidak ada notifikasi tugas,"['apk', 'tidak', 'bisa', 'di', 'pakai', 'tidak', 'ada', 'notifikasi', 'tugas']"
Ini kenapa sih nggak bisa menggabungkan dengan akun Perguruan tinggi,ini kenapa sih nggak bisa menggabungkan dengan akun perguruan tinggi,"['ini', 'kenapa', 'sih', 'nggak', 'bisa', 'menggabungkan', 'dengan', 'akun', 'perguruan', 'tinggi']"
Siang ka. Knapa di hp saya edlink nya tidak bisa di install. Sedangkan aplikasi yang lebih besar dari edlink bisa? Terimakasih.,siang ka knapa di hp saya edlink nya tidak bisa di install sedangkan aplikasi yang lebih besar dari edlink bisa terimakasih,"['siang', 'ka', 'knapa', 'di', 'hp', 'saya', 'edlink', 'nya', 'tidak', 'bisa', 'di', 'install', 'sedangkan', 'aplikasi', 'yang', 'lebih', 'besar', 'dari', 'edlink', 'bisa', 'terimakasih']"
Tak bisa login padahal username dan pw sudah benar,tak bisa login padahal username dan pw sudah benar,"['tak', 'bisa', 'login', 'padahal', 'username', 'dan', 'pw', 'sudah', 'benar']"
"NOTIF GETAR AMPAS, UDAH DI MATIIN TAPI TETEP GETAR. SAMPAH",notif getar ampas udah di matiin tapi tetep getar sampah,"['notif', 'getar', 'ampas', 'udah', 'di', 'matiin', 'tapi', 'tetep', 'getar', 'sampah']"
"Kenapa edlink sering sekali keluar otomatis, sampai sampai ingin masukan kata sandi, tidak bisa, padahal kata sandinya sudah benar, tolong dongggggg",kenapa edlink sering sekali keluar otomatis sampai sampai ingin masukan kata sandi tidak bisa padahal kata sandinya sudah benar tolong dongggggg,"['kenapa', 'edlink', 'sering', 'sekali', 'keluar', 'otomatis', 'sampai', 'sampai', 'ingin', 'masukan', 'kata', 'sandi', 'tidak', 'bisa', 'padahal', 'kata', 'sandinya', 'sudah', 'benar', 'tolong', 'dongggggg']"
"Setelah edlink di update, saya coba login dengan akun saya tapi tidak bisa, mohon arahannya kenapa bisa seperti ini??? Padahal banyak data-data penting yang mau saya ambil🙏🏻🙏🏻🙏🏻 terus kemudian edlinknya malah tidak muncul di layar utama HP🙏🏻🙏🏻🙏🏻",setelah edlink di update saya coba login dengan akun saya tapi tidak bisa mohon arahannya kenapa bisa seperti ini padahal banyak datadata penting yang mau saya ambil terus kemudian edlinknya malah tidak muncul di layar utama hp,"['setelah', 'edlink', 'di', 'update', 'saya', 'coba', 'login', 'dengan', 'akun', 'saya', 'tapi', 'tidak', 'bisa', 'mohon', 'arahannya', 'kenapa', 'bisa', 'seperti', 'ini', 'padahal', 'banyak', 'datadata', 'penting', 'yang', 'mau', 'saya', 'ambil', 'terus', 'kemudian', 'edlinknya', 'malah', 'tidak', 'muncul', 'di', 'layar', 'utama', 'hp']"
Pengen serius kuliah malah aplikasi ngebug. Menghambat bikin malas. Tolong banget bikin menghambat banget. Tolong segera perbaiki.,pengen serius kuliah malah aplikasi ngebug menghambat bikin malas tolong banget bikin menghambat banget tolong segera perbaiki,"['pengen', 'serius', 'kuliah', 'malah', 'aplikasi', 'ngebug', 'menghambat', 'bikin', 'malas', 'tolong', 'banget', 'bikin', 'menghambat', 'banget', 'tolong', 'segera', 'perbaiki']"
So,so,['so']
"T tak tu tu ttp td tau rt5tzx tu yg tau dss di, dunia z dr dr d CD d",t tak tu tu ttp td tau rttzx tu yg tau dss di dunia z dr dr d cd d,"['t', 'tak', 'tu', 'tu', 'ttp', 'td', 'tau', 'rttzx', 'tu', 'yg', 'tau', 'dss', 'di', 'dunia', 'z', 'dr', 'dr', 'd', 'cd', 'd']"
"Sangat bagus dan bermanfaat sekali bagi saya, terimakasih 🙏",sangat bagus dan bermanfaat sekali bagi saya terimakasih,"['sangat', 'bagus', 'dan', 'bermanfaat', 'sekali', 'bagi', 'saya', 'terimakasih']"
Saya sangat merasa terbantu dengan adanya aplikasi edlink mempermudah saya untuk mengetahu nilai dan mata kuliah saya beserta hasil ujian,saya sangat merasa terbantu dengan adanya aplikasi edlink mempermudah saya untuk mengetahu nilai dan mata kuliah saya beserta hasil ujian,"['saya', 'sangat', 'merasa', 'terbantu', 'dengan', 'adanya', 'aplikasi', 'edlink', 'mempermudah', 'saya', 'untuk', 'mengetahu', 'nilai', 'dan', 'mata', 'kuliah', 'saya', 'beserta', 'hasil', 'ujian']"
Sudah lumayan baik,sudah lumayan baik,"['sudah', 'lumayan', 'baik']"
Bagus. Sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'membantu']"
Kok di edlink nilai aku yg semester ini malah kecampur sama Nilai semester kmren ya,kok di edlink nilai aku yg semester ini malah kecampur sama nilai semester kmren ya,"['kok', 'di', 'edlink', 'nilai', 'aku', 'yg', 'semester', 'ini', 'malah', 'kecampur', 'sama', 'nilai', 'semester', 'kmren', 'ya']"
Kenapa saya tidak bisa login padahal Nim sama password saya sudah benar,kenapa saya tidak bisa login padahal nim sama password saya sudah benar,"['kenapa', 'saya', 'tidak', 'bisa', 'login', 'padahal', 'nim', 'sama', 'password', 'saya', 'sudah', 'benar']"
Susah nginstalnya,susah nginstalnya,"['susah', 'nginstalnya']"
